title,description,amount,send,receive
Tesco,TESCO STORES 5841 LONDON,33.79,Expenses,expenses
Waitrose,WAITROSE 664 CANARY WHARF,13.32,Expenses,expenses
Uber,UBR* PENDING.UBER.COM LONDON,83.86,Expenses,expenses
Waitrose,WAITROSE 664 CANARY WHARF,20.28,Expenses,expenses
Ralphs Coffe,SQ *RALPH'S COFFEE BICEST Bicester,17.42,Expenses,expenses
Deliveroo,DELIVEROO LONDON,32.39,Expenses,expenses
Crepes Bicester,Creperie Angelie - Bicest Bicester,12.88,Expenses,expenses
Bicester,OS_UK_BICESTER_KIOSK_ Bicester,8.13,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP,3.93,Expenses,TFL
M&S,M&S SIMPLY FOOD - SSP M/BONE STN,18.84,Expenses,expenses
Uber,UBER UK RIDES LONDON,37.25,Expenses,expenses
Blank Stret,SQ *BLANK STREET UK LIMIT London,5.96,Expenses,expenses
Wembly Concert,SQ *SHACK EVENTS Wembley Park,40.39,Expenses,expenses
T4,TEA SQUARE LONDON E14,8,Expenses,expenses
Tozi Date,TOZI Cafe Bar Counter London,118.57,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP,8.55,Expenses,TFL
Poplar Fresh,POPLAR FRESH LONDON,8.79,Expenses,expenses
Poplar Fresh,POPLAR FRESH LONDON,10.88,Expenses,expenses
Poplar Fresh,POPLAR FRESH LONDON,2.95,Expenses,expenses
Pizzza Pilgrims,Pizza Pilgrims London,86.55,Expenses,expenses
Wembly Concert,DELAWARE NORTH WEMBLEY WEMBLEY,35.1,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP 09/06 POUND STERLING,10.16,Expenses,TFL
TFL,TFL TRAVEL CH TFL.GOV.UK/CP 09/07 POUND STERLING,3.9,Expenses,TFL
Ole & Steen,OLE AND STEEN CANARY WHA LONDON 09/07 POUND STERLING,2.63,Expenses,expenses
Ole & Steen,OLE AND STEEN CANARY WHA LONDON 09/07 POUND STERLING,3.5,Expenses,expenses
Waitrose,WAITROSE 664 CANARY WHARF 09/06 POUND STERLING,6.73,Expenses,expenses
Dominos,DOMINO S PIZZA MILTON KEYNES 09/06 POUND STERLING,45.75,Expenses,expenses
Ole & Steen,OLE AND STEEN CANARY WHA LONDON 09/08 POUND STERLING,15.21,Expenses,expenses
Tesco,TESCO STORES 5841 LONDON 09/08 POUND STERLING,22.55,Expenses,expenses
Wahaca,TST-Wahaca - Canary Wh London 09/08 POUND STERLING,129.88,Expenses,expenses
Sainsbury's,SAINSBURYS S/MKTS LONDON 09/09 POUND STERLING,6.44,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP 09/09 POUND STERLING,10.24,Expenses,TFL
Spoons,JD WETHERSPOON Watford 09/09 POUND STERLING,17.63,Expenses,expenses
Tamsis Dock,SQ *TAMESIS DOCK London 09/09 POUND STERLING,26.92,Expenses,expenses
Tesco,TESCO STORES 5841 LONDON 09/10 POUND STERLING,25.76,Expenses,expenses
Lime,LIME*RIDE 62RW LONDON 09/11 POUND STERLING,8.44,Expenses,expenses
Tesco,TESCO STORES 5841 LONDON 09/12 POUND STERLING,51.71,Expenses,expenses
Poplar Fresh,POPLAR FRESH LONDON 09/12 POUND STERLING,11.22,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP 09/14 POUND STERLING,7.88,Expenses,TFL
Markethalls,Market Hall Cargo Canary London 09/14 POUND STERLING,29.41,Expenses,expenses
Itsu,ITSU 070 BICESTER BICESTER 09/14 POUND STERLING,24.3,Expenses,expenses
Flowers,Marylebone Flowers London 09/14 POUND STERLING,20.38,Expenses,expenses
Ralphs Coffe,SQ *RALPH'S COFFEE BICEST Bicester ,6.72,Expenses,expenses
Sky Gardens Date,Sky Garden London 09/13 POUND STERLING,234.4,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP 09/15 POUND STERLING,7.88,Expenses,TFL
Trainline,TRAINLINE WWW.THETRAINL 09/15 POUND STERLING,48.77,Expenses,expenses
Uber,UBR* PENDING.UBER.COM LONDON 09/16 POUND STERLING,74.66,Expenses,expenses
Gokarting,F 9 GO KARTING GURGAON ,39.2,Expenses,expenses
Movie,PVR INOX LIMITED GURGAON 09/21 INDIAN RUPEE,2.39,Expenses,expenses
Movie,PVR LIMITED GURGAON 09/22 INDIAN RUPEE,29.24,Expenses,expenses
Atrichoke Trust,Artichoke Trust London,4.05,Expenses,expenses
dinner with V,HAZELNUT FACTORY FOOD NEW DELHI,4.97,Expenses,expenses
Movie,PVR INOX LIMITED GURGAON,7.91,Expenses,expenses
movie,PVR INOX LIMITED GURGAON,3.96,Expenses,expenses
Concert,RAZ*ATOMX CORPORATION PRI PUNE,23.79,Expenses,expenses
Concert,FIG AT MALCHA DELHI,32.09,Expenses,expenses
Concert,RAZ*ATOMX CORPORATION PRI PUNE,0.88,Expenses,expenses
Misha Kurta,FABINDIA - GURGAON GOOD E GURGAON,62.69,Expenses,expenses
KFC,K094 KFC FORECOURT ARR DELHI,7.52,Expenses,expenses
Cara Kurta,KUSVAA GURGAON,92.93,Expenses,expenses
Theos,THEOS FOOD PRIVATE LIM GURGAON,1.56,Expenses,expenses
Dinner with Misha,BURMA BURMA RESTAURANT GURGAON,56.34,Expenses,expenses
Qutub ticket,MSW*ASI MONUMENT Delhi NCR,12.52,Expenses,expenses
Ditas With Misha,DITAS DELHI,167.75,Expenses,expenses
Uber ,UBER *TRIP HELP.UBER.COM help.uber.com,2.65,Expenses,expenses
Qutub ticket,Archaeological Survey Of Delhi,0.5,Expenses,expenses
Coffee Misha,CAFE DORI LLP GURGAON,29.2,Expenses,expenses
CCd Amer,CAFE COFFEE DAY AMBER FOR JAIPUR,2.05,Expenses,expenses
Flowers,SerenataFlowers Eastleigh,49.46,Expenses,expenses
Dinner Amer,MOUNT SHIVALIK HOTELS JAIPUR,151.89,Expenses,expenses
INA,RAZ*Archaeological Survey Central DelDL,14.67,Expenses,expenses
INA,Archaeological Survey Of Delhi,14.62,Expenses,expenses
jaipur hotel,Hotel,601.85,Expenses,expenses
dinner jaipur,Dinner 25.10,274.75,Expenses,expenses
Deliveroo,DELIVEROO LONDON,17.47,Expenses,expenses
lego,LEGO System A/S Billund,72.47,Expenses,expenses
blinkit,RAZ*Blinkit Faridabad HA,31.64,Expenses,expenses
blinkit,Blink Commerce Private Li Gurgaon,3.43,Expenses,expenses
Flowers,WWW.BLOOMANDWILD.COM LONDON,25.1,Expenses,expenses
blinkit,RAZ*Blinkit Faridabad HA,0.83,Expenses,expenses
uber,UBER *TRIP HELP.UBER.COM help.uber.com,8.32,Expenses,expenses
uber,UBER *TRIP HELP.UBER.COM help.uber.com,15.81,Expenses,expenses
cinabon,CINNABON SHIVAJI CP TRI NEW DELHI,15.67,Expenses,expenses
blinkit,RAZ*BLINKIT Gurugram HA,2.4,Expenses,expenses
mcdonalds airpot,CONNAUGHT PLAZA RESTAU SOUTH WEST DE ,7.82,Expenses,expenses
Waitrose,WAITROSE 664 CANARY WHARF ,71.04,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP ,18.38,Expenses,TFL
uber eats,UBER *EATS HELP.UBER.COM ,50.16,Expenses,expenses
Spoons,JD WETHERSPOON Watford ,39.12,Expenses,expenses
Spoons,JD WETHERSPOON Watford ,17.63,Expenses,expenses
Spoons,JD WETHERSPOON Watford ,16.3,Expenses,expenses
Spoons,JD WETHERSPOON Watford ,32.73,Expenses,expenses
Waitrose,WAITROSE 664 CANARY WHARF ,127.42,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP ,7.77,Expenses,TFL
kartik bday,DINES* HIMALAYAN FOODS LONDON ,16.07,Expenses,expenses
tfl,TFL TRAVEL CH TFL.GOV.UK/CP ,7.75,Expenses,TFL
Poplar Fresh,POPLAR FRESH LONDON ,36.07,Expenses,expenses
kartik bday,DINES* THE DUCK SHED LONDON ,23.43,Expenses,expenses
kartik bday,DINES* MERCATO BAR SE1 LONDON ,33.42,Expenses,expenses
Poplar Fresh,POPLAR FRESH LONDON ,21.06,Expenses,expenses
Poplar Fresh,POPLAR FRESH LONDON ,25.4,Expenses,expenses
kartik bday,DINES* BAKALVA MERCATO LONDON ,6.69,Expenses,expenses
dinner with sahitya,LS Crust Bros London ,25.88,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP ,7.74,Expenses,TFL
date kew,KEW KORNER RICHMOND ,4.67,Expenses,expenses
misc,Zettle_*KERB EVENTS LIMIT London ,20.56,Expenses,expenses
Deliveroo,DELIVEROO LONDON ,76.47,Expenses,expenses
TFL,TFL TRAVEL CH TFL.GOV.UK/CP ,9.22,Expenses,TFL
misc,LOVE WALK CAFE LONDON ,13.26,Expenses,expenses
m&s,MARKS&SPENCER PLC SF CANARY WHARF ,21.63,Expenses,expenses
Markethalls,Market Hall Cargo Canary London ,36.09,Expenses,expenses
alchemist,The Alchemist - Canary Wh London ,74.27,Expenses,expenses
misc,ZigZag Global London,6.71,Expenses,expenses
